;fit_time;score_time;test_roc_auc;test_precision;test_recall;repeat;fold;features;model
0;0.6762046813964844;0.45865678787231445;0.4;0.6666666666666666;0.4;0;0;all;rf
1;0.6573953628540039;0.46240687370300293;1.0;0.6666666666666666;1.0;0;1;all;rf
2;0.6562604904174805;0.4589400291442871;0.7916666666666666;0.75;0.75;0;2;all;rf
3;0.6531291007995605;0.4578511714935303;0.8;0.6666666666666666;0.5;0;3;all;rf
4;0.6508104801177979;0.4579591751098633;0.7;0.5;0.25;0;4;all;rf
5;0.6496894359588623;0.4574549198150635;0.64;1.0;0.4;1;0;all;rf
6;0.6486785411834717;0.4593691825866699;0.5833333333333334;0.5;0.25;1;1;all;rf
7;0.6499488353729248;0.45842862129211426;0.5;0.4;0.5;1;2;all;rf
8;0.6524977684020996;0.456500768661499;1.0;1.0;1.0;1;3;all;rf
9;0.650404691696167;0.4607360363006592;0.45000000000000007;0.25;0.25;1;4;all;rf
10;0.6497323513031006;0.45941734313964844;0.58;1.0;0.4;2;0;all;rf
11;0.6514344215393066;0.45912957191467285;1.0;0.6666666666666666;1.0;2;1;all;rf
12;0.6499910354614258;0.45946717262268066;0.625;0.42857142857142855;0.75;2;2;all;rf
13;0.651592493057251;0.4869866371154785;0.775;1.0;0.5;2;3;all;rf
14;0.6479263305664062;0.45906805992126465;0.45;0.5;0.5;2;4;all;rf
15;0.6489367485046387;0.45809268951416016;0.6;0.5;0.4;3;0;all;rf
16;0.6503019332885742;0.45911097526550293;0.875;0.5;0.75;3;1;all;rf
17;0.6494088172912598;0.46010851860046387;0.8125;1.0;0.5;3;2;all;rf
18;0.6509733200073242;0.45974135398864746;0.7;0.6666666666666666;0.5;3;3;all;rf
19;0.6519491672515869;0.4581794738769531;0.9500000000000001;0.8;1.0;3;4;all;rf
20;0.6497278213500977;0.46089863777160645;0.6799999999999999;1.0;0.6;4;0;all;rf
21;0.6515591144561768;0.45996952056884766;0.9166666666666667;0.75;0.75;4;1;all;rf
22;0.6504306793212891;0.46043896675109863;0.7708333333333334;0.75;0.75;4;2;all;rf
23;0.6507599353790283;0.4591822624206543;0.75;0.5;0.75;4;3;all;rf
24;0.6504509449005127;0.45886850357055664;0.6;0.6666666666666666;0.5;4;4;all;rf
25;0.6494717597961426;0.4592711925506592;0.76;0.75;0.6;5;0;all;rf
26;0.6513900756835938;0.4597797393798828;0.7916666666666667;0.6;0.75;5;1;all;rf
27;0.650869607925415;0.4593629837036133;0.9583333333333334;0.5714285714285714;1.0;5;2;all;rf
28;0.6513104438781738;0.45886731147766113;0.6;0.5;0.5;5;3;all;rf
29;0.6512646675109863;0.45938611030578613;0.75;1.0;0.25;5;4;all;rf
30;0.6514127254486084;0.45896244049072266;0.8400000000000001;1.0;0.8;6;0;all;rf
31;0.6525259017944336;0.4839751720428467;0.8333333333333334;1.0;0.75;6;1;all;rf
32;0.650418758392334;0.4571051597595215;0.9583333333333334;1.0;0.75;6;2;all;rf
33;0.6508851051330566;0.45794224739074707;0.5;0.4;0.5;6;3;all;rf
34;0.6503984928131104;0.458240270614624;0.55;0.3333333333333333;0.25;6;4;all;rf
35;0.6501340866088867;0.45807814598083496;0.6000000000000001;0.75;0.6;7;0;all;rf
36;0.650510311126709;0.45612645149230957;0.75;0.5;0.75;7;1;all;rf
37;0.6498911380767822;0.4579734802246094;0.625;0.5;0.5;7;2;all;rf
38;0.6527884006500244;0.4587516784667969;0.85;1.0;0.75;7;3;all;rf
39;0.6509988307952881;0.45980262756347656;0.55;0.5;0.25;7;4;all;rf
40;0.6489682197570801;0.45967650413513184;0.44;0.6;0.6;8;0;all;rf
41;0.6503303050994873;0.45987844467163086;0.45833333333333337;0.5;0.25;8;1;all;rf
42;0.6520369052886963;0.46005916595458984;1.0;1.0;1.0;8;2;all;rf
43;0.6506946086883545;0.4593164920806885;0.7;0.5;0.5;8;3;all;rf
44;0.650165319442749;0.46027398109436035;0.6499999999999999;0.5;0.5;8;4;all;rf
45;0.6750550270080566;0.457303524017334;0.62;0.5;0.4;9;0;all;rf
46;0.6512317657470703;0.4571986198425293;1.0;1.0;1.0;9;1;all;rf
47;0.6507189273834229;0.45762085914611816;0.6666666666666666;1.0;0.25;9;2;all;rf
48;0.651822566986084;0.45726847648620605;0.7000000000000001;0.5;0.75;9;3;all;rf
49;0.6508357524871826;0.4578986167907715;0.75;1.0;0.5;9;4;all;rf
50;0.6487131118774414;0.45697832107543945;0.52;0.4;0.4;10;0;all;rf
51;0.6514675617218018;0.45725393295288086;0.8333333333333334;0.5;0.25;10;1;all;rf
52;0.6527993679046631;0.4581151008605957;0.8333333333333333;0.75;0.75;10;2;all;rf
53;0.6533963680267334;0.4570133686065674;0.9;0.6;0.75;10;3;all;rf
54;0.6528580188751221;0.4590637683868408;0.8;0.75;0.75;10;4;all;rf
55;0.6516678333282471;0.45983171463012695;0.7600000000000001;0.6666666666666666;0.8;11;0;all;rf
56;0.6508550643920898;0.45842647552490234;0.5416666666666667;0.3333333333333333;0.5;11;1;all;rf
57;0.6516308784484863;0.4591364860534668;0.75;1.0;0.75;11;2;all;rf
58;0.6534044742584229;0.45899367332458496;0.8;0.75;0.75;11;3;all;rf
59;0.6521339416503906;0.4587585926055908;0.7;1.0;0.5;11;4;all;rf
60;0.6520781517028809;0.45925211906433105;0.68;0.6;0.6;12;0;all;rf
61;0.6515159606933594;0.4843473434448242;0.75;0.6;0.75;12;1;all;rf
62;0.6517608165740967;0.45701074600219727;0.6666666666666667;0.5;0.5;12;2;all;rf
63;0.6524345874786377;0.45671939849853516;0.7;1.0;0.5;12;3;all;rf
64;0.6529533863067627;0.45696592330932617;0.9;0.6666666666666666;0.5;12;4;all;rf
65;0.6528797149658203;0.4568662643432617;1.0;1.0;0.8;13;0;all;rf
66;0.6517999172210693;0.4580543041229248;0.5833333333333333;0.5;0.5;13;1;all;rf
67;0.6515400409698486;0.45783090591430664;0.875;0.75;0.75;13;2;all;rf
68;0.6524896621704102;0.45690321922302246;0.65;0.5;0.5;13;3;all;rf
69;0.6531708240509033;0.456465482711792;0.8;0.42857142857142855;0.75;13;4;all;rf
70;0.6515059471130371;0.45950865745544434;0.72;0.6;0.6;14;0;all;rf
71;0.6539866924285889;0.4570610523223877;0.875;0.75;0.75;14;1;all;rf
72;0.6527066230773926;0.45868420600891113;0.7291666666666667;0.75;0.75;14;2;all;rf
73;0.6582684516906738;0.4647493362426758;0.49999999999999994;0.0;0.0;14;3;all;rf
74;0.664867639541626;0.4632885456085205;0.9500000000000001;0.75;0.75;14;4;all;rf
75;0.6910786628723145;0.4587671756744385;0.76;0.5;0.2;15;0;all;rf
76;0.652529239654541;0.45836472511291504;0.6666666666666667;0.6666666666666666;0.5;15;1;all;rf
77;0.6527388095855713;0.4602947235107422;0.75;0.6;0.75;15;2;all;rf
78;0.6533408164978027;0.45765042304992676;1.0;1.0;1.0;15;3;all;rf
79;0.6523330211639404;0.4569213390350342;0.5499999999999999;0.4;0.5;15;4;all;rf
80;0.6541585922241211;0.45687365531921387;0.72;0.75;0.6;16;0;all;rf
81;0.6518502235412598;0.4568045139312744;0.75;0.6;0.75;16;1;all;rf
82;0.6518621444702148;0.4589500427246094;0.5833333333333334;0.5;0.5;16;2;all;rf
83;0.6535015106201172;0.4581320285797119;0.9;0.75;0.75;16;3;all;rf
84;0.6531722545623779;0.45931506156921387;0.6000000000000001;0.5;0.5;16;4;all;rf
85;0.6571335792541504;0.45702290534973145;0.6800000000000002;0.6666666666666666;0.4;17;0;all;rf
86;0.6506681442260742;0.4570190906524658;0.5416666666666666;1.0;0.5;17;1;all;rf
87;0.6517748832702637;0.45720553398132324;0.75;0.6666666666666666;0.5;17;2;all;rf
88;0.6536002159118652;0.4582381248474121;0.9;0.75;0.75;17;3;all;rf
89;0.6548643112182617;0.455371618270874;0.9500000000000001;0.6666666666666666;1.0;17;4;all;rf
90;0.6532378196716309;0.45774197578430176;0.84;0.75;0.6;18;0;all;rf
91;0.6525871753692627;0.4591398239135742;0.6666666666666667;0.6666666666666666;0.5;18;1;all;rf
92;0.6787528991699219;0.45574188232421875;0.75;0.6666666666666666;0.5;18;2;all;rf
93;0.6529138088226318;0.45727992057800293;0.55;0.6666666666666666;0.5;18;3;all;rf
94;0.6524841785430908;0.4571352005004883;0.7000000000000001;0.5;0.5;18;4;all;rf
95;0.6503472328186035;0.4561727046966553;0.64;0.4;0.4;19;0;all;rf
96;0.6499831676483154;0.4586498737335205;0.3333333333333333;0.0;0.0;19;1;all;rf
97;0.6524972915649414;0.4583315849304199;0.8333333333333333;0.6;0.75;19;2;all;rf
98;0.6534619331359863;0.4590601921081543;0.775;0.75;0.75;19;3;all;rf
99;0.6539747714996338;0.46021366119384766;1.0;0.6666666666666666;1.0;19;4;all;rf
100;0.6521956920623779;0.45992207527160645;0.8400000000000001;1.0;0.6;20;0;all;rf
101;0.650456428527832;0.4593677520751953;0.625;0.5;0.5;20;1;all;rf
102;0.6515638828277588;0.45857977867126465;0.75;0.5;0.75;20;2;all;rf
103;0.653378963470459;0.4599475860595703;0.6;0.6666666666666666;0.5;20;3;all;rf
104;0.6529910564422607;0.4591653347015381;0.9;1.0;0.25;20;4;all;rf
105;0.6531291007995605;0.4856865406036377;0.7400000000000001;0.75;0.6;21;0;all;rf
106;0.6514348983764648;0.4596734046936035;0.6666666666666666;0.6;0.75;21;1;all;rf
107;0.6508810520172119;0.45868372917175293;0.625;0.5;0.5;21;2;all;rf
108;0.6489808559417725;0.4590163230895996;0.5;0.5;0.5;21;3;all;rf
109;0.651869535446167;0.4575674533843994;0.7000000000000001;0.6;0.75;21;4;all;rf
110;0.6513285636901855;0.4597282409667969;0.48;0.4;0.4;22;0;all;rf
111;0.6517007350921631;0.46103882789611816;0.875;0.75;0.75;22;1;all;rf
112;0.6510505676269531;0.45763206481933594;0.625;0.5;0.25;22;2;all;rf
113;0.6506941318511963;0.4589695930480957;0.7;0.6666666666666666;0.5;22;3;all;rf
114;0.6524910926818848;0.45822739601135254;0.9;0.6;0.75;22;4;all;rf
115;0.6503300666809082;0.4585142135620117;0.8400000000000001;1.0;0.8;23;0;all;rf
116;0.6502165794372559;0.45914530754089355;0.6458333333333334;0.6666666666666666;0.5;23;1;all;rf
117;0.6489219665527344;0.4598581790924072;0.5;0.4;0.5;23;2;all;rf
118;0.6509952545166016;0.4584653377532959;0.8;0.75;0.75;23;3;all;rf
119;0.6517331600189209;0.4593374729156494;0.75;0.75;0.75;23;4;all;rf
120;0.6514890193939209;0.46041035652160645;0.8400000000000001;0.6666666666666666;0.8;24;0;all;rf
121;0.6523008346557617;0.4612917900085449;0.875;0.6;0.75;24;1;all;rf
122;0.6506855487823486;0.4615201950073242;0.625;0.6666666666666666;0.5;24;2;all;rf
123;0.6516320705413818;0.48567962646484375;0.75;1.0;0.5;24;3;all;rf
124;0.6508708000183105;0.46074986457824707;0.5;1.0;0.25;24;4;all;rf
125;0.6493220329284668;0.457658052444458;0.6;0.6;0.6;25;0;all;rf
126;0.650261640548706;0.4575650691986084;0.7083333333333334;0.5;0.5;25;1;all;rf
127;0.650531530380249;0.45775580406188965;0.5833333333333334;0.6666666666666666;0.5;25;2;all;rf
128;0.6523606777191162;0.4582059383392334;0.8;0.6;0.75;25;3;all;rf
129;0.6531538963317871;0.4590599536895752;1.0;1.0;1.0;25;4;all;rf
130;0.6503722667694092;0.45924949645996094;0.84;0.75;0.6;26;0;all;rf
131;0.6496055126190186;0.45897603034973145;0.8333333333333334;0.75;0.75;26;1;all;rf
132;0.650071382522583;0.45856618881225586;0.6458333333333333;0.6666666666666666;0.5;26;2;all;rf
133;0.6513326168060303;0.45920252799987793;0.7;0.5;0.75;26;3;all;rf
134;0.6517953872680664;0.4592909812927246;0.7000000000000001;0.5;0.5;26;4;all;rf
135;0.6513726711273193;0.4579732418060303;0.92;1.0;0.8;27;0;all;rf
136;0.6505692005157471;0.48464417457580566;0.6666666666666667;0.5;0.25;27;1;all;rf
137;0.6499786376953125;0.4579746723175049;0.7083333333333333;0.6;0.75;27;2;all;rf
138;0.6518158912658691;0.4570484161376953;0.6;0.3333333333333333;0.25;27;3;all;rf
139;0.6518135070800781;0.45752620697021484;0.75;0.75;0.75;27;4;all;rf
140;0.6513843536376953;0.45749616622924805;0.8;1.0;0.6;28;0;all;rf
141;0.6512315273284912;0.45810985565185547;0.6666666666666666;0.5;0.75;28;1;all;rf
142;0.6510567665100098;0.4603400230407715;0.7083333333333334;1.0;0.25;28;2;all;rf
143;0.6512970924377441;0.4574165344238281;0.8;0.5;0.5;28;3;all;rf
144;0.6527597904205322;0.4589884281158447;0.8;1.0;0.75;28;4;all;rf
145;0.6521778106689453;0.45557594299316406;0.88;0.8;0.8;29;0;all;rf
146;0.6531734466552734;0.45906901359558105;0.75;0.6;0.75;29;1;all;rf
147;0.6529920101165771;0.4586009979248047;0.9583333333333334;1.0;0.75;29;2;all;rf
148;0.6514360904693604;0.45781445503234863;0.35;0.25;0.25;29;3;all;rf
149;0.6521008014678955;0.4584226608276367;0.7;1.0;0.5;29;4;all;rf
150;0.651435375213623;0.4576992988586426;0.84;1.0;0.2;30;0;all;rf
151;0.6505255699157715;0.45981574058532715;0.7291666666666667;0.6666666666666666;0.5;30;1;all;rf
152;0.652451753616333;0.4583699703216553;0.9166666666666667;0.5714285714285714;1.0;30;2;all;rf
153;0.6524636745452881;0.4575028419494629;0.6000000000000001;0.5;0.5;30;3;all;rf
154;0.6530373096466064;0.4852142333984375;0.9;0.75;0.75;30;4;all;rf
155;0.6516449451446533;0.45655012130737305;0.8400000000000001;0.6666666666666666;0.8;31;0;all;rf
156;0.6514232158660889;0.4571223258972168;0.625;0.5;0.25;31;1;all;rf
157;0.6507632732391357;0.4573531150817871;0.7083333333333334;0.6666666666666666;0.5;31;2;all;rf
158;0.6522936820983887;0.45639562606811523;0.5;0.4;0.5;31;3;all;rf
159;0.6525189876556396;0.45731329917907715;0.75;1.0;0.75;31;4;all;rf
160;0.6519317626953125;0.4584217071533203;0.84;0.7142857142857143;1.0;32;0;all;rf
161;0.6512608528137207;0.4585268497467041;0.7083333333333334;1.0;0.25;32;1;all;rf
162;0.6520583629608154;0.45705580711364746;0.7916666666666666;0.6;0.75;32;2;all;rf
163;0.6494429111480713;0.45857667922973633;0.65;0.0;0.0;32;3;all;rf
164;0.6525304317474365;0.4576551914215088;0.75;0.5;0.75;32;4;all;rf
165;0.6527438163757324;0.4597592353820801;0.6;0.75;0.6;33;0;all;rf
166;0.6533021926879883;0.457866907119751;0.875;0.6;0.75;33;1;all;rf
167;0.6469736099243164;0.4552011489868164;0.5;1.0;0.5;33;2;all;rf
168;0.6795978546142578;0.45701169967651367;0.65;0.5;0.5;33;3;all;rf
169;0.6525967121124268;0.45652246475219727;0.7;0.4;0.5;33;4;all;rf
170;0.6504154205322266;0.45594263076782227;0.4;0.3333333333333333;0.2;34;0;all;rf
171;0.651320219039917;0.4562535285949707;0.9583333333333334;0.75;0.75;34;1;all;rf
172;0.6517672538757324;0.45627307891845703;0.75;0.75;0.75;34;2;all;rf
173;0.6538310050964355;0.4564223289489746;0.75;1.0;0.75;34;3;all;rf
174;0.6533231735229492;0.4580214023590088;0.6;0.4;0.5;34;4;all;rf
175;0.6535131931304932;0.4573361873626709;0.56;0.5;0.4;35;0;all;rf
176;0.6531944274902344;0.45684289932250977;0.7916666666666666;0.75;0.75;35;1;all;rf
177;0.6516237258911133;0.4570033550262451;0.5;0.4;0.5;35;2;all;rf
178;0.6544787883758545;0.457517147064209;0.6000000000000001;1.0;0.5;35;3;all;rf
179;0.6555898189544678;0.45711684226989746;1.0;1.0;1.0;35;4;all;rf
180;0.6529407501220703;0.45546889305114746;0.68;0.6;0.6;36;0;all;rf
181;0.6528174877166748;0.4580709934234619;0.75;0.6;0.75;36;1;all;rf
182;0.6537046432495117;0.4575080871582031;0.9166666666666667;1.0;0.75;36;2;all;rf
183;0.6525728702545166;0.45746302604675293;0.65;0.5;0.25;36;3;all;rf
184;0.6538455486297607;0.4569740295410156;0.7000000000000001;0.6666666666666666;0.5;36;4;all;rf
185;0.6521294116973877;0.4581310749053955;0.68;0.5;0.4;37;0;all;rf
186;0.6771495342254639;0.4579429626464844;0.5833333333333333;0.5;0.5;37;1;all;rf
187;0.6518280506134033;0.45775818824768066;0.5;0.25;0.25;37;2;all;rf
188;0.6534841060638428;0.456270694732666;0.9;0.75;0.75;37;3;all;rf
189;0.6545925140380859;0.4562544822692871;0.9500000000000001;0.75;0.75;37;4;all;rf
190;0.6497774124145508;0.45665502548217773;0.52;1.0;0.2;38;0;all;rf
191;0.6508569717407227;0.4568946361541748;0.7083333333333334;0.375;0.75;38;1;all;rf
192;0.6526551246643066;0.4581875801086426;0.8333333333333333;0.75;0.75;38;2;all;rf
193;0.6533370018005371;0.45713281631469727;0.75;1.0;0.5;38;3;all;rf
194;0.6525638103485107;0.45790624618530273;0.8500000000000001;0.6666666666666666;1.0;38;4;all;rf
195;0.652395486831665;0.4581105709075928;0.8400000000000001;0.6666666666666666;0.8;39;0;all;rf
196;0.6512484550476074;0.45795631408691406;0.7916666666666666;0.6666666666666666;0.5;39;1;all;rf
197;0.6521072387695312;0.45890307426452637;0.5;1.0;0.5;39;2;all;rf
198;0.6514852046966553;0.4587419033050537;0.8;0.6;0.75;39;3;all;rf
199;0.6530592441558838;0.4846830368041992;0.7;0.5;0.5;39;4;all;rf
200;0.650348424911499;0.454606294631958;0.68;0.6;0.6;40;0;all;rf
201;0.6527681350708008;0.45792531967163086;0.9583333333333334;0.6666666666666666;1.0;40;1;all;rf
202;0.6516590118408203;0.4574134349822998;0.75;0.0;0.0;40;2;all;rf
203;0.6537790298461914;0.45639634132385254;1.0;0.6666666666666666;1.0;40;3;all;rf
204;0.6533920764923096;0.4572439193725586;0.85;0.6666666666666666;0.5;40;4;all;rf
205;0.6509132385253906;0.4584236145019531;0.4800000000000001;0.4;0.4;41;0;all;rf
206;0.6536664962768555;0.45752382278442383;0.8333333333333334;0.75;0.75;41;1;all;rf
207;0.6536850929260254;0.45836567878723145;0.9166666666666666;0.75;0.75;41;2;all;rf
208;0.6525652408599854;0.45783448219299316;1.0;1.0;0.75;41;3;all;rf
209;0.6527233123779297;0.45859622955322266;0.6;0.6666666666666666;0.5;41;4;all;rf
210;0.651787281036377;0.45877861976623535;0.6399999999999999;0.75;0.6;42;0;all;rf
211;0.6514742374420166;0.45553064346313477;0.7916666666666666;0.75;0.75;42;1;all;rf
212;0.6504857540130615;0.4582066535949707;0.5833333333333334;0.5;0.5;42;2;all;rf
213;0.6536321640014648;0.45776796340942383;1.0;1.0;0.75;42;3;all;rf
214;0.6530025005340576;0.45758914947509766;0.5;0.5;0.5;42;4;all;rf
215;0.652463436126709;0.45876049995422363;0.76;0.6666666666666666;0.4;43;0;all;rf
216;0.6521527767181396;0.4579598903656006;0.8333333333333334;0.5;0.5;43;1;all;rf
217;0.6523387432098389;0.4854750633239746;0.6666666666666666;0.6666666666666666;0.5;43;2;all;rf
218;0.6523866653442383;0.4572300910949707;0.525;0.6666666666666666;0.5;43;3;all;rf
219;0.6527900695800781;0.45621609687805176;0.9;0.6666666666666666;1.0;43;4;all;rf
220;0.6501431465148926;0.4564321041107178;0.6;0.5;0.4;44;0;all;rf
221;0.650538444519043;0.45698094367980957;0.7500000000000001;1.0;0.25;44;1;all;rf
222;0.6510100364685059;0.4579639434814453;0.9166666666666667;0.6;0.75;44;2;all;rf
223;0.652625560760498;0.4579203128814697;0.85;0.6;0.75;44;3;all;rf
224;0.6530139446258545;0.4583866596221924;0.6;0.6666666666666666;0.5;44;4;all;rf
225;0.649954080581665;0.45716261863708496;0.56;0.0;0.0;45;0;all;rf
226;0.6502037048339844;0.4580850601196289;0.375;0.3333333333333333;0.25;45;1;all;rf
227;0.6528646945953369;0.45864200592041016;1.0;1.0;1.0;45;2;all;rf
228;0.6526989936828613;0.459578275680542;0.9;1.0;0.5;45;3;all;rf
229;0.6532659530639648;0.45945000648498535;1.0;0.5714285714285714;1.0;45;4;all;rf
230;0.649085283279419;0.45866918563842773;0.31999999999999995;0.3333333333333333;0.2;46;0;all;rf
231;0.677340030670166;0.45752429962158203;0.7916666666666667;0.42857142857142855;0.75;46;1;all;rf
232;0.6523261070251465;0.4601285457611084;1.0;0.8;1.0;46;2;all;rf
233;0.6534411907196045;0.4570603370666504;0.75;0.6;0.75;46;3;all;rf
234;0.6518054008483887;0.45818400382995605;0.55;1.0;0.5;46;4;all;rf
235;0.649787187576294;0.4588937759399414;0.54;0.75;0.6;47;0;all;rf
236;0.6521070003509521;0.4590415954589844;0.7083333333333333;0.6666666666666666;0.5;47;1;all;rf
237;0.6530673503875732;0.45966196060180664;0.9583333333333334;0.5714285714285714;1.0;47;2;all;rf
238;0.6513030529022217;0.458920955657959;0.6;0.5;0.25;47;3;all;rf
239;0.653695821762085;0.4570434093475342;0.85;0.75;0.75;47;4;all;rf
240;0.6510815620422363;0.45868992805480957;0.8;0.6666666666666666;0.8;48;0;all;rf
241;0.6512680053710938;0.458967924118042;0.75;0.6666666666666666;0.5;48;1;all;rf
242;0.6525382995605469;0.45960402488708496;0.9583333333333334;0.6666666666666666;1.0;48;2;all;rf
243;0.6528992652893066;0.4567103385925293;0.9;0.6666666666666666;0.5;48;3;all;rf
244;0.6522376537322998;0.4583141803741455;0.65;0.5;0.25;48;4;all;rf
245;0.6449451446533203;0.45520949363708496;0.8;0.6;0.6;49;0;all;rf
246;0.6458590030670166;0.45433974266052246;0.6666666666666667;1.0;0.5;49;1;all;rf
247;0.6467897891998291;0.47981858253479004;0.8333333333333334;0.75;0.75;49;2;all;rf
248;0.6460332870483398;0.45441150665283203;0.8;0.6666666666666666;0.5;49;3;all;rf
249;0.6447200775146484;0.4458458423614502;0.6;0.3333333333333333;0.25;49;4;all;rf
250;0.6453976631164551;0.4533097743988037;0.68;1.0;0.4;50;0;all;rf
251;0.6426208019256592;0.4498887062072754;0.4375;0.3333333333333333;0.25;50;1;all;rf
252;0.6346433162689209;0.438767671585083;0.7916666666666667;0.6666666666666666;0.5;50;2;all;rf
253;0.6289000511169434;0.4399383068084717;0.75;0.6;0.75;50;3;all;rf
254;0.6332917213439941;0.43585920333862305;0.8;0.75;0.75;50;4;all;rf
255;0.6316173076629639;0.44159531593322754;0.76;1.0;0.6;51;0;all;rf
256;0.6262667179107666;0.4377586841583252;0.9166666666666667;0.8;1.0;51;1;all;rf
257;0.6316065788269043;0.43627429008483887;0.5;0.5;0.75;51;2;all;rf
258;0.6283960342407227;0.4333207607269287;0.4;0.0;0.0;51;3;all;rf
259;0.6311690807342529;0.437652587890625;0.7;0.5;0.25;51;4;all;rf
260;0.6310479640960693;0.4398043155670166;0.76;0.6;0.6;52;0;all;rf
261;0.651024580001831;0.4316720962524414;0.75;0.6;0.75;52;1;all;rf
