;fit_time;score_time;test_roc_auc;test_precision;test_recall;repeat;fold;features;model
0;0.5660254955291748;0.01931142807006836;0.6200000000000001;1.0;0.4;0;0;eeg_abcd_merged;gssvm
1;0.6122434139251709;0.01997852325439453;0.8125000000000001;1.0;0.25;0;1;eeg_abcd_merged;gssvm
2;0.5910067558288574;0.02010822296142578;0.6875;0.6666666666666666;0.5;0;2;eeg_abcd_merged;gssvm
3;0.5917530059814453;0.020620346069335938;0.5;0.0;0.0;0;3;eeg_abcd_merged;gssvm
4;0.5953366756439209;0.02045273780822754;0.75;0.0;0.0;0;4;eeg_abcd_merged;gssvm
5;0.5903539657592773;0.019965171813964844;0.39999999999999997;0.0;0.0;1;0;eeg_abcd_merged;gssvm
6;0.595813512802124;0.019907474517822266;0.625;1.0;0.25;1;1;eeg_abcd_merged;gssvm
7;0.5870809555053711;0.019869089126586914;0.625;0.5;0.25;1;2;eeg_abcd_merged;gssvm
8;0.5900130271911621;0.019928693771362305;0.8;1.0;0.25;1;3;eeg_abcd_merged;gssvm
9;0.5885953903198242;0.019946575164794922;0.8500000000000001;0.6666666666666666;0.5;1;4;eeg_abcd_merged;gssvm
10;0.5885677337646484;0.01991724967956543;0.8;0.0;0.0;2;0;eeg_abcd_merged;gssvm
11;0.5888326168060303;0.01991105079650879;0.625;0.0;0.0;2;1;eeg_abcd_merged;gssvm
12;0.589425802230835;0.019910335540771484;0.7291666666666667;0.5;0.25;2;2;eeg_abcd_merged;gssvm
13;0.5896596908569336;0.01969456672668457;0.8;1.0;0.25;2;3;eeg_abcd_merged;gssvm
14;0.5883517265319824;0.019897937774658203;0.47500000000000003;0.5;0.25;2;4;eeg_abcd_merged;gssvm
15;0.5889661312103271;0.019869565963745117;0.5;0.5;0.2;3;0;eeg_abcd_merged;gssvm
16;0.5892899036407471;0.019697189331054688;0.5625;0.0;0.0;3;1;eeg_abcd_merged;gssvm
17;0.5822079181671143;0.019636869430541992;0.75;0.0;0.0;3;2;eeg_abcd_merged;gssvm
18;0.5804598331451416;0.019680023193359375;0.675;1.0;0.25;3;3;eeg_abcd_merged;gssvm
19;0.5829992294311523;0.01978015899658203;0.8250000000000001;1.0;0.5;3;4;eeg_abcd_merged;gssvm
20;0.5788519382476807;0.019724369049072266;0.48;0.0;0.0;4;0;eeg_abcd_merged;gssvm
21;0.5832219123840332;0.019731521606445312;0.9583333333333334;0.0;0.0;4;1;eeg_abcd_merged;gssvm
22;0.5798239707946777;0.019624948501586914;0.6875;1.0;0.25;4;2;eeg_abcd_merged;gssvm
23;0.5815608501434326;0.01989603042602539;0.675;1.0;0.25;4;3;eeg_abcd_merged;gssvm
24;0.5814533233642578;0.019711017608642578;0.6;0.0;0.0;4;4;eeg_abcd_merged;gssvm
25;0.5809836387634277;0.019698619842529297;0.6599999999999999;0.5;0.2;5;0;eeg_abcd_merged;gssvm
26;0.5796451568603516;0.019620895385742188;0.8125000000000001;1.0;0.25;5;1;eeg_abcd_merged;gssvm
27;0.581770658493042;0.01965045928955078;0.5;0.0;0.0;5;2;eeg_abcd_merged;gssvm
28;0.5761921405792236;0.01963329315185547;0.775;1.0;0.5;5;3;eeg_abcd_merged;gssvm
29;0.5805516242980957;0.02074456214904785;0.525;0.5;0.25;5;4;eeg_abcd_merged;gssvm
30;0.58052659034729;0.01957082748413086;0.5;0.6666666666666666;0.4;6;0;eeg_abcd_merged;gssvm
31;0.5790340900421143;0.019693613052368164;0.5833333333333334;0.0;0.0;6;1;eeg_abcd_merged;gssvm
32;0.5810010433197021;0.019483089447021484;0.7916666666666667;0.0;0.0;6;2;eeg_abcd_merged;gssvm
33;0.5783920288085938;0.019650697708129883;0.7250000000000001;1.0;0.25;6;3;eeg_abcd_merged;gssvm
34;0.5808944702148438;0.019652843475341797;0.7500000000000001;0.6666666666666666;0.5;6;4;eeg_abcd_merged;gssvm
35;0.5775656700134277;0.01965928077697754;0.38;0.3333333333333333;0.4;7;0;eeg_abcd_merged;gssvm
36;0.579420804977417;0.01965165138244629;0.75;1.0;0.25;7;1;eeg_abcd_merged;gssvm
37;0.5791490077972412;0.01950860023498535;0.7083333333333334;0.0;0.0;7;2;eeg_abcd_merged;gssvm
38;0.579888105392456;0.019560575485229492;0.6500000000000001;0.0;0.0;7;3;eeg_abcd_merged;gssvm
39;0.5787692070007324;0.019670486450195312;0.9500000000000001;0.0;0.0;7;4;eeg_abcd_merged;gssvm
40;0.580798864364624;0.01965785026550293;0.44000000000000006;0.0;0.0;8;0;eeg_abcd_merged;gssvm
41;0.5781300067901611;0.019599437713623047;0.6458333333333334;0.6666666666666666;0.5;8;1;eeg_abcd_merged;gssvm
42;0.5811777114868164;0.01961827278137207;0.8125000000000001;1.0;0.25;8;2;eeg_abcd_merged;gssvm
43;0.5788877010345459;0.019672632217407227;0.775;1.0;0.5;8;3;eeg_abcd_merged;gssvm
44;0.580291748046875;0.019744396209716797;0.75;0.0;0.0;8;4;eeg_abcd_merged;gssvm
45;0.5806045532226562;0.01956653594970703;0.8200000000000001;1.0;0.2;9;0;eeg_abcd_merged;gssvm
46;0.5779261589050293;0.01968240737915039;0.8125000000000001;0.0;0.0;9;1;eeg_abcd_merged;gssvm
47;0.577822208404541;0.01929330825805664;0.6875;0.6666666666666666;0.5;9;2;eeg_abcd_merged;gssvm
48;0.5778830051422119;0.0195925235748291;0.525;1.0;0.25;9;3;eeg_abcd_merged;gssvm
49;0.5777335166931152;0.019622802734375;0.49999999999999994;0.0;0.0;9;4;eeg_abcd_merged;gssvm
50;0.580700159072876;0.019658803939819336;0.8600000000000001;0.0;0.0;10;0;eeg_abcd_merged;gssvm
51;0.5807690620422363;0.0195465087890625;0.6875;1.0;0.25;10;1;eeg_abcd_merged;gssvm
